name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
			ProceedsFromLoans,"561,000,000","561,000,000","393,000,000","345,000,000","342,000,000","1,702,000,000","490,000,000","492,000,000","885,000,000","654,000,000","1,714,000,000","2,915,000,000","3,498,000,000","796,000,000","740,000,000","1,229,000,000","985,000,000","911,000,000",,"4,241,000,000","3,974,000,000","4,126,000,000",,,,"276,000,000","351,500,000",,,,,,
			PaymentForLoans,"-88,000,000","-88,000,000","-772,000,000","-75,000,000","-1,771,000,000","-1,435,000,000","-307,000,000","-179,000,000","-181,000,000","-490,000,000","-650,000,000","-1,657,000,000","-3,149,000,000","-854,000,000","-1,446,000,000","-1,008,000,000","-365,000,000","-1,987,000,000",,"-3,046,000,000","-840,000,000","-9,502,000,000",,,,"-491,100,000","-577,100,000",,,,,,
		NetPPEPurchaseAndSale,"-13,276,000,000","-13,276,000,000","-13,012,000,000","-15,979,000,000","-14,537,000,000","-11,708,000,000","-12,954,000,000","-16,082,000,000","-15,185,000,000","-11,087,000,000","-9,775,000,000","-8,191,000,000","-5,980,000,000","-4,937,000,000","-6,138,000,000","-5,373,000,000","-4,571,000,000","-2,195,000,000","-1,201,000,000",,,,,,,,,,,,"-119,900,000","-161,000,000",
			PurchaseOfPPE,"-13,276,000,000","-13,276,000,000","-13,012,000,000","-15,979,000,000","-14,537,000,000","-11,708,000,000","-12,954,000,000","-16,082,000,000","-15,185,000,000","-11,087,000,000","-9,775,000,000","-8,191,000,000","-5,980,000,000","-4,937,000,000","-6,138,000,000","-5,373,000,000","-4,571,000,000","-2,195,000,000","-1,201,000,000",,,,,,,,,,,,"-119,900,000","-161,000,000",
		NetBusinessPurchaseAndSale,"-456,000,000","-456,000,000","-2,532,000,000","-1,683,000,000","-3,279,000,000","-2,708,000,000","-31,399,000,000","-4,902,000,000","-4,824,000,000","-6,431,000,000","-3,188,000,000","-22,827,000,000","-15,924,000,000","-108,000,000","-6,050,000,000","-1,602,000,000","-10,132,000,000","-2,387,000,000","-414,000,000","-3,213,000,000","-2,620,000,000","-4,697,000,000","-3,798,000,000","-153,000,000","-4,971,000,000","-774,900,000","-1,975,300,000",,,,,,
			PurchaseOfBusiness,"-456,000,000","-456,000,000","-2,532,000,000","-1,683,000,000","-3,279,000,000","-2,708,000,000","-31,399,000,000","-4,902,000,000","-4,824,000,000","-6,431,000,000","-3,188,000,000","-8,685,000,000","-15,924,000,000","-108,000,000","-6,050,000,000","-1,602,000,000","-10,132,000,000","-2,387,000,000","-414,000,000","-3,213,000,000","-2,620,000,000","-4,697,000,000","-3,798,000,000","-153,000,000","-4,971,000,000","-774,900,000","-1,975,300,000",,,,,,
		NetOtherInvestingChanges,"297,000,000","297,000,000","-3,582,000,000","-1,496,000,000","-71,000,000","-3,690,000,000","-419,000,000","165,000,000","336,000,000","-1,210,000,000","-183,000,000","63,000,000","-476,000,000","1,180,000,000","-13,603,000,000","798,000,000","1,017,000,000","1,761,000,000","563,000,000","-759,000,000","-846,000,000","-727,000,000","-582,000,000","-417,000,000","9,640,000,000","-182,300,000","258,300,000",,,,"-453,300,000","-50,300,000",
FinancingCashFlow,"-28,508,000,000","-28,508,000,000","-18,344,000,000","730,000,000","-5,812,000,000","-1,398,000,000","12,791,000,000","3,803,000,000","2,731,000,000","961,000,000","-806,000,000","-2,217,000,000","8,125,000,000","233,000,000","2,286,000,000","1,366,000,000","2,607,000,000","5,628,000,000","-156,000,000","-1,161,000,000","-3,574,000,000","6,014,000,000","470,000,000","367,000,000","61,000,000","-96,200,000","853,600,000","113,100,000","-345,200,000","137,700,000","6,300,000","-9,700,000","202,100,000"
	CashFlowFromContinuingFinancingActivities,"-28,508,000,000","-28,508,000,000","-18,344,000,000","730,000,000","-5,812,000,000","-1,398,000,000","12,791,000,000","3,803,000,000","2,731,000,000","961,000,000","-806,000,000","-2,217,000,000","8,125,000,000","233,000,000","2,286,000,000","1,366,000,000","2,607,000,000","5,628,000,000","-156,000,000","-1,161,000,000","-3,574,000,000","6,014,000,000","470,000,000","367,000,000","61,000,000","-96,200,000","853,600,000","113,100,000","-345,200,000","137,700,000","6,300,000","-9,700,000","202,100,000"
		NetIssuancePaymentsOfDebt,"-752,000,000","-752,000,000","6,791,000,000","6,077,000,000","-4,123,000,000","-1,277,000,000","12,679,000,000","4,036,000,000","3,996,000,000","3,985,000,000","1,242,000,000","-357,000,000","8,220,000,000","643,000,000","2,418,000,000","979,000,000","2,406,000,000","5,563,000,000","-322,000,000","-447,000,000","-3,720,000,000","5,898,000,000","545,000,000","504,000,000","58,000,000","-94,800,000","292,100,000","114,600,000","-344,300,000","140,600,000","44,900,000","-8,900,000","209,200,000"
