Date,Dividends
2016-06-15,0.125000
2016-09-14,0.125000
2016-12-14,0.125000
2017-03-15,0.125000
2017-06-14,0.150000
2017-09-14,0.150000
2017-12-14,0.150000
2018-03-15,0.150000
2018-06-14,0.160000
2018-09-13,0.160000
2018-12-13,0.160000
2019-03-14,0.160000
2019-06-13,0.170000
2019-09-12,0.170000
2019-12-12,0.170000
2020-03-12,0.170000
