name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
MarketCap,"769,037,162,059","663,961,255,203","537,003,440,385","551,967,059,524","502,370,526,709","489,248,728,671","401,644,417,328","325,280,272,225","370,664,665,523","292,412,334,744","220,619,764,138","189,215,895,103","198,316,403,391","153,625,644,636","149,567,781,744","219,377,377,280","169,647,674,818","136,383,561,046","135,305,203,500","129,511,844,295","111,632,856,991","115,563,956,550","108,257,053,890","85,088,821,950","90,931,663,650","56,775,981,084","42,000,227,560","38,327,400,000","24,031,200,000","19,230,850,000","13,500,750,000","10,371,300,000","7,649,550,000"
EnterpriseValue,"800,964,162,059","714,777,255,203","623,267,440,385","584,491,059,524","558,572,526,709","548,032,728,671","418,607,417,328","343,931,272,225","383,096,665,523","316,082,334,744","236,363,764,138","214,923,895,103","218,663,403,391","160,976,644,636","160,910,781,744","208,874,377,280","158,368,674,818","105,811,561,046","106,488,203,500","110,604,844,295","121,961,856,991","143,055,956,550","108,121,053,890","83,718,821,950","79,734,663,650","58,040,281,084","42,604,827,560","37,234,000,000","24,649,700,000","18,365,150,000","13,608,150,000","10,864,400,000","8,641,950,000"
PeRatio,"8.775","8.115","15.778","20.575","8.121","26.206","17.246","14.278","17.939","15.375","14.934","16.321","15.193","19.103","29.963","16.565","13.492","20.237","18.494","15.869","26.029","145.106","47.651","54.732","30.946","29.831","16.513","61.02","24.316","23.295","33.076","23.568","19.404"
ForwardPeRatio,"25.84","21.645","21.413","18.868","17.452","21.739","20.325","14.025","20.704","17.452","15.723","14.771","17.422",,,,,,,,,,,,,,,,,,,,
PegRatio,"9.682","9.41",,"0.305",,"3.297","10.173","1.508","3.092","2.606","1.541","2.956","3.486",,,,,,,,,,,,,,,,,,,,
PsRatio,"2.222","1.99","2.009","2.149","1.964","2.026","1.843","1.568","1.92","1.628","1.363","1.335","1.458","1.368","1.388","1.853","1.737","1.788","1.818","2.027","2.636","3.081","3.936","3.55","7.689","5.443","4.002","9.098","7.895","7.342","4.447","4.271","4.84"
PbRatio,"1.518","1.42","1.294","1.388","1.337","1.588","1.491","1.309","1.564","1.403","1.174","1.184","1.262","1.174","1.37","1.815","1.66","1.525","1.575","1.668","1.743","1.994","1.825","1.477","1.52","1.805","1.794","2.369","2.107","1.844","1.518","1.405","1.447"
EnterprisesValueRevenueRatio,"2.259","2.016","2.177","1.786","2.478","2.263","1.872","1.631","1.968","1.735","1.455","1.496","1.606","1.431","1.493","1.766","1.607","1.296","1.432","1.732","2.88","3.815","3.182","3.484","5.765","5.565","4.057","10.027","6.407","7.012","4.492","4.476","5.469"
