"Rank","Name","Symbol","marketcap","price (USD)","country"
"104","Del Taco","TACO","452357536","12.43","United States"
"105","Whole Earth Brands","FREE","410170144","10.66","United States"
"106","HF Foods Group","HFFG","396618368","7.64","United States"
"107","Seneca Foods","SENEA","389444064","45.01","United States"
"108","Kyokuyo","1301.T","292914872","27.23","Japan"
"109","Fiesta Restaurant Group","FRGI","277267744","10.68","United States"
"110","Red Robin","RRGB","248787440","15.83","United States"
"111","Vidhi Specialty Food","VIDHIING.NS","238553134","4.77","India"
"112","J. Alexander's Holdings","JAX","211118592","14","United States"
"113","AquaBounty","AQB","169751424","2.39","United States"
"114","Carrols Restaurant Group","TAST","148693152","2.9","United States"
"115","Potbelly Corporation","PBPB","145191552","5.05","United States"
"116","Parag Milk Foods","PARAGMILK.NS","141517539","1.48","India"
"117","Prabhat Dairy","PRABHAT.NS","131339058","1.34","India"
"118","Apex Frozen Foods","APEX.NS","117120929","3.74","India"
"119","Calyxt","CLXT","90103336","2.34","United States"
"120","Luby's","LUB","87474144","2.82","United States"
"121","Vadilal Industries","VADILALIND.NS","87025367","12.11","India"
"122","Lifeway Foods","LWAY","76557104","4.96","United States"
"123","Farmmi","FAMI","64617444","0.23","China"
"124","Stryve Foods","SNAX","33566436","3.84","United States"
"125","Real Good Food plc","RGF","30232412","4.9","United Kingdom"
"126","Rave Restaurant Group","RAVE","19985440","1.11","United States"
