name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
OperatingCashFlow,"59,323,000,000","66,064,000,000","38,514,000,000","30,723,000,000","18,434,000,000","16,443,000,000","11,920,000,000","6,842,000,000","5,475,000,000","4,180,000,000","3,903,000,000","3,495,000,000","3,293,000,000","1,697,000,000","1,405,000,000","702,000,000","733,000,000","566,560,000","392,022,000","174,291,000","-119,782,000","-130,442,000","-90,875,000","31,035,000","3,500,000","-1,700,000"
	CashFlowFromContinuingOperatingActivities,"59,323,000,000","66,064,000,000","38,514,000,000","30,723,000,000","18,434,000,000","16,443,000,000","11,920,000,000","6,842,000,000","5,475,000,000","4,180,000,000","3,903,000,000","3,495,000,000","3,293,000,000","1,697,000,000","1,405,000,000","702,000,000","733,000,000","566,560,000","392,022,000","174,291,000","-119,782,000","-130,442,000","-90,875,000","31,035,000","3,500,000","-1,700,000"
		NetIncomeFromContinuingOperations,"29,438,000,000","21,331,000,000","11,588,000,000","10,073,000,000","3,033,000,000","2,371,000,000","596,000,000","-241,000,000","274,000,000","-39,000,000","631,000,000","1,152,000,000","902,000,000","645,000,000","476,000,000","190,000,000","359,000,000","588,451,000","35,282,000","-149,132,000","-567,277,000","-1,411,273,000","-719,968,000","-124,546,000","-27,600,000","-5,800,000"
		OperatingGainsLosses,,,,,,,"5,000,000","-3,000,000","1,000,000","-9,000,000","94,000,000","104,000,000","99,000,000","-26,000,000","1,000,000","-2,000,000","30,000,000","54,732,000","221,168,000","192,924,000","46,293,000","504,627,000","85,457,000","47,065,000",,
			GainLossOnInvestmentSecurities,,,,,,,"5,000,000","-3,000,000","1,000,000","-9,000,000","-4,000,000","-2,000,000","-4,000,000","-2,000,000","1,000,000","-2,000,000",,,,,,,,,,
		DepreciationAmortizationDepletion,"29,687,000,000","25,251,000,000","21,789,000,000","15,341,000,000","11,478,000,000","8,116,000,000","6,281,000,000","4,746,000,000","3,253,000,000","2,159,000,000","1,083,000,000","568,000,000","378,000,000","287,000,000","246,000,000","205,000,000","121,000,000","75,724,000","78,310,000","87,752,000","129,934,000","322,818,000","282,118,000","12,078,000","4,700,000","300,000"
			DepreciationAndAmortization,"29,687,000,000","25,251,000,000","21,789,000,000","15,341,000,000","11,478,000,000","8,116,000,000","6,281,000,000","4,746,000,000","3,253,000,000","2,159,000,000","1,083,000,000","568,000,000","378,000,000","287,000,000","246,000,000","205,000,000","121,000,000","75,724,000","78,310,000","87,752,000","129,934,000","322,818,000","282,118,000","12,078,000","4,700,000","300,000"
				Depreciation,,,,,,,,,,,"1,083,000,000","568,000,000","378,000,000","287,000,000","246,000,000","205,000,000",,,"75,558,000","82,274,000","84,709,000","84,460,000","36,806,000","9,692,000",,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,"2,752,000","5,478,000","45,225,000","238,358,000","245,312,000","2,386,000",,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,"2,752,000","5,478,000","45,225,000","238,358,000","245,312,000","2,386,000",,
		DeferredTax,"1,063,000,000","-554,000,000","796,000,000","441,000,000","-29,000,000","-246,000,000","81,000,000","-316,000,000","-156,000,000","-265,000,000","136,000,000","4,000,000","81,000,000","-5,000,000","-99,000,000","22,000,000","70,000,000","-256,696,000",,,,,,,,
			DeferredIncomeTax,"1,063,000,000","-554,000,000","796,000,000","441,000,000","-29,000,000","-246,000,000","81,000,000","-316,000,000","-156,000,000","-265,000,000","136,000,000","4,000,000","81,000,000","-5,000,000","-99,000,000","22,000,000","70,000,000","-256,696,000",,,,,,,,
		StockBasedCompensation,"10,747,000,000","9,208,000,000","6,864,000,000","5,418,000,000","4,215,000,000","2,975,000,000","2,119,000,000","1,497,000,000","1,134,000,000","833,000,000","557,000,000","424,000,000","341,000,000","275,000,000","185,000,000","101,000,000",,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,"-829,000,000","-119,000,000","-6,000,000","-78,000,000","-429,000,000","-62,000,000","-259,000,000","-105,000,000","-159,000,000","-257,000,000","-102,000,000",,,,,,,,,,
		OtherNonCashItems,"-5,463,000,000","-2,653,000,000","-85,000,000","493,000,000","-90,000,000","140,000,000","400,000,000","191,000,000","280,000,000","407,000,000","631,000,000","-79,000,000","-15,000,000","-34,000,000","21,000,000","4,000,000",,,,,"99,922,000","167,405,000","31,406,000","23,970,000","100,000","100,000"
		ChangeInWorkingCapital,"-6,149,000,000","13,481,000,000","-2,438,000,000","-1,043,000,000","-173,000,000","3,916,000,000","2,557,000,000","974,000,000","767,000,000","1,523,000,000","1,464,000,000","1,581,000,000","1,612,000,000","714,000,000","832,000,000","284,000,000","153,000,000","104,349,000","57,262,000","42,747,000","171,346,000","285,981,000","230,112,000","72,468,000","26,300,000","3,700,000"
			ChangeInReceivables,"-13,294,000,000","-8,169,000,000","-7,681,000,000","-4,615,000,000","-4,786,000,000","-3,367,000,000","-1,755,000,000","-1,039,000,000","-846,000,000","-861,000,000","-866,000,000","-295,000,000","-481,000,000","-218,000,000","-255,000,000","-103,000,000","-84,000,000","-1,745,000","305,000","-32,948,000",,,,,,
				ChangesInAccountReceivables,"-13,294,000,000","-8,169,000,000","-7,681,000,000","-4,615,000,000","-4,786,000,000","-3,367,000,000","-1,755,000,000","-1,039,000,000","-846,000,000","-861,000,000","-866,000,000","-295,000,000","-481,000,000","-218,000,000","-255,000,000","-103,000,000",,,,,,,,,,
